,Title,Year,Rating
0,The Boys,(2019– ),8.7
1,The Umbrella Academy,(2019– ),8.0
2,The New Mutants,(2020),5.5
3,The Batman,(2021),
4,Avengers: Endgame,(2019),8.4
5,Buffy the Vampire Slayer,(1997–2003),8.2
6,Black Panther,(2018),7.3
7,Kingsman: The Golden Circle,(2017),6.7
8,Doom Patrol,(2019– ),8.0
9,Agents of S.H.I.E.L.D.,(2013–2020),7.5
10,Misfits,(2009–2013),8.2
11,The Dark Knight,(2008),9.0
12,The Suicide Squad,(2021),
13,Project Power,(2020),6.0
14,The Flash,(2014– ),7.7
15,Birds of Prey,(2020),6.1
16,The Old Guard,(2020),6.7
17,Watchmen,(2019),8.1
18,Avatar: The Last Airbender,(2005–2008),9.2
19,Arrow,(2012–2020),7.5
20,Gotham,(2014–2019),7.8
21,Wonder Woman 1984,(2020),
22,Black Widow,(2020),
23,Deadpool 2,(2018),7.7
24,Avengers: Infinity War,(2018),8.4
25,The Dark Knight Rises,(2012),8.4
26,Zack Snyder's Justice League,(2021– ),
27,Smallville,(2001–2011),7.5
28,Deadpool,(2016),8.0
29,Supergirl,(2015– ),6.3
30,Kingsman: The Secret Service,(2014),7.7
31,Spies in Disguise,(2019),6.8
32,Thor: Ragnarok,(2017),7.9
33,Titans,(I) (2018– ),7.7
34,Watchmen,(2009),7.6
35,Batman Begins,(2005),8.2
36,Suicide Squad,(2016),6.0
37,Venom,(2018),6.7
38,The Eternals,(2021),
39,The Punisher,(2017–2019),8.5
40,Guardians of the Galaxy,(2014),8.0
41,Spider-Man: Into the Spider-Verse,(2018),8.4
42,Daredevil,(2015–2018),8.6
43,Aquaman,(2018),6.9
44,Bloodshot,(2020),5.7
45,Freaks: You're One of Us,(2020),5.3
46,Legends of Tomorrow,(2016– ),6.8
47,Justice League,(2017),6.3
48,Harley Quinn,(2019– ),8.5
49,Captain Marvel,(2019),6.9
