,Title,Year,Rating
0,The Boys,(2019– ),8.7
1,Cobra Kai,(2018– ),8.7
2,Tenet,(2020),7.8
3,The Mandalorian,(2019– ),8.7
4,Mulan,(2020),5.4
5,The Karate Kid,(1984),7.2
6,Dune,(1984),6.5
7,Game of Thrones,(2011–2019),9.3
8,#Alive,(2020),6.2
9,Vikings,(2013– ),8.5
10,No Time to Die,(2020),
11,The New Mutants,(2020),5.5
12,The Batman,(2021),
13,Ava,(IV) (2020),5.3
14,Money Heist,(2017– ),8.4
15,The Witcher,(2019– ),8.2
16,NCIS: Naval Criminal Investigative Service,(2003– ),7.8
17,Avengers: Endgame,(2019),8.4
18,Le Mans '66,(2019),8.1
19,Buffy the Vampire Slayer,(1997–2003),8.2
20,Archer,(2009– ),8.6
21,Black Panther,(2018),7.3
22,The Last Kingdom,(2015– ),8.4
23,Kingsman: The Golden Circle,(2017),6.7
24,Inception,(2010),8.8
25,The Karate Kid Part III,(1989),5.2
26,Doom Patrol,(2019– ),8.0
27,Star Trek: The Next Generation,(1987–1994),8.6
28,Agents of S.H.I.E.L.D.,(2013–2020),7.5
29,The Dark Knight,(2008),9.0
30,The Suicide Squad,(2021),
31,Project Power,(2020),6.0
32,The Flash,(2014– ),7.7
33,Birds of Prey,(2020),6.1
34,The Old Guard,(2020),6.7
35,Watchmen,(2019),8.1
36,The Legend of Korra,(2012–2014),8.4
37,Prison Break,(2005–2017),8.3
38,The Gentlemen,(2019),7.9
39,Avatar: The Last Airbender,(2005–2008),9.2
40,Unhinged,(2020),6.2
41,Designated Survivor,(2016–2019),7.5
42,Arrow,(2012–2020),7.5
43,Gotham,(2014–2019),7.8
44,Blade Runner 2049,(2017),8.0
45,Wonder Woman 1984,(2020),
46,Chicago Fire,(2012– ),7.9
47,Black Widow,(2020),
48,Peninsula,(2020),5.5
49,The Karate Kid Part II,(1986),6.0
