,Title,Year,Rating
0,The Boys,(2019– ),8.7
1,Cobra Kai,(2018– ),8.7
2,Archer,(2009– ),8.6
3,Kingsman: The Golden Circle,(2017),6.7
4,Doom Patrol,(2019– ),8.0
5,The Legend of Korra,(2012–2014),8.4
6,The Gentlemen,(2019),7.9
7,Deadpool 2,(2018),7.7
8,Jumanji: The Next Level,(2019),6.7
9,Deadpool,(2016),8.0
10,L.A.'s Finest,(2019– ),5.8
11,Kingsman: The Secret Service,(2014),7.7
12,Spies in Disguise,(2019),6.8
13,Thor: Ragnarok,(2017),7.9
14,Scott Pilgrim vs. the World,(2010),7.5
15,Bad Boys for Life,(2020),6.6
16,Charlie's Angels,(2019),4.8
