,Title,Year,Rating
0,Dune,(I) (2020),
1,The Mandalorian,(2019– ),8.7
2,Mulan,(2020),5.4
3,Dune,(1984),6.5
4,Game of Thrones,(2011–2019),9.3
5,Bill & Ted Face the Music,(2020),6.3
6,Vikings,(2013– ),8.5
7,No Time to Die,(2020),
8,Enola Holmes,(2020),
9,Interstellar,(2014),8.6
10,The Witcher,(2019– ),8.2
11,The Princess Bride,(1987),8.1
12,Avengers: Endgame,(2019),8.4
13,Doctor Who,(2005– ),8.6
14,Harry Potter and the Philosopher's Stone,(2001),7.6
15,Black Panther,(2018),7.3
16,Pets United,(2019),3.4
17,Mulan,(1998),7.6
18,Kingsman: The Golden Circle,(2017),6.7
19,Inception,(2010),8.8
20,Doom Patrol,(2019– ),8.0
21,Lost,(2004–2010),8.3
22,Star Trek: The Next Generation,(1987–1994),8.6
23,Agents of S.H.I.E.L.D.,(2013–2020),7.5
24,The Suicide Squad,(2021),
25,The Flash,(2014– ),7.7
26,Birds of Prey,(2020),6.1
27,The Old Guard,(2020),6.7
28,The Legend of Korra,(2012–2014),8.4
29,Avatar: The Last Airbender,(2005–2008),9.2
30,Follow Me,(2020),5.3
31,Arrow,(2012–2020),7.5
32,Bill & Ted's Excellent Adventure,(1989),7.0
33,Wonder Woman 1984,(2020),
34,Black Widow,(2020),
35,Trolls World Tour,(2020),6.1
36,Battlestar Galactica,(2004–2009),8.7
37,Star Trek: Discovery,(2017– ),7.3
38,Rick and Morty,(2013– ),9.2
39,Back to the Future,(1985),8.5
40,Deadpool 2,(2018),7.7
41,Once Upon a Time,(2011–2018),7.7
42,Infidel,(2019),6.6
43,The Goonies,(1985),7.8
44,Avengers: Infinity War,(2018),8.4
45,Almost Famous,(2000),7.9
46,Star Trek: Deep Space Nine,(1993–1999),7.9
47,The Dark Knight Rises,(2012),8.4
48,Terminator: Dark Fate,(2019),6.2
49,Jurassic World: Camp Cretaceous,(2020– ),7.6
