,Title,Year,Rating
0,Archer,(2009– ),8.6
1,Pets United,(2019),3.4
2,Mulan,(1998),7.6
3,The Legend of Korra,(2012–2014),8.4
4,Avatar: The Last Airbender,(2005–2008),9.2
5,The Simpsons,(1989– ),8.7
6,Trolls World Tour,(2020),6.1
7,Rick and Morty,(2013– ),9.2
8,Close Enough,(2020– ),8.0
9,South Park,(1997– ),8.7
10,Jurassic World: Camp Cretaceous,(2020– ),7.6
11,Attack on Titan,(2013– ),8.8
12,Family Guy,(1999– ),8.1
13,The One and Only Ivan,(2020),6.7
14,The Lion King,(2019),6.9
15,Spies in Disguise,(2019),6.8
16,BoJack Horseman,(2014–2020),8.7
17,Dragon's Dogma,(2020– ),6.6
18,Star Wars: The Clone Wars,(2008–2020),8.2
19,Star Trek: Lower Decks,(2020– ),6.0
20,Spider-Man: Into the Spider-Verse,(2018),8.4
21,Clone High,(2002–2003),8.1
22,Harley Quinn,(2019– ),8.5
23,Bob's Burgers,(2011– ),8.1
24,My Hero Academia,(2016– ),8.5
25,Moana,(I) (2016),7.6
26,Frozen 2,(2019),6.9
27,Hoops,(2020– ),6.0
28,Hunter x Hunter,(2011–2014),8.9
29,The Lion King,(1994),8.5
30,Onward,(I) (2020),7.4
31,American Dad!,(2005– ),7.3
32,Scoob!,(2020),5.7
33,Spirited Away,(2001),8.6
34,Toy Story 4,(2019),7.8
35,Sing,(2016),7.1
36,Big Mouth,(2017– ),8.0
37,Ratatouille,(2007),8.0
38,Hercules,(1997),7.3
39,The Nightmare Before Christmas,(1993),8.0
40,Naruto: Shippuden,(2007–2017),8.6
41,Gravity Falls,(2012–2016),8.9
42,One Piece,(1999– ),8.7
43,Frozen,(I) (2013),7.4
44,Coco,(I) (2017),8.4
45,Inside Out,(I) (2015),8.1
46,Cars,(2006),7.1
47,Zootropolis,(2016),8.0
48,Star Wars: Rebels,(2014–2018),8.0
49,Death Note,(2006–2007),9.0
