,Title,Year,Rating
0,The Boys,(2019– ),8.7
1,Cobra Kai,(2018– ),8.7
2,The Babysitter: Killer Queen,(2020),5.9
3,The Babysitter,(I) (2017),6.3
4,Julie and the Phantoms,(2020– ),8.4
5,Fast Times at Ridgemont High,(1982),7.2
6,The Office,(2005–2013),8.9
7,Bill & Ted Face the Music,(2020),6.3
8,The Duchess,(2020– ),6.8
9,Ted Lasso,(2020– ),8.7
10,Schitt's Creek,(2015–2020),8.4
11,Friends,(1994–2004),8.9
12,Hubie Halloween,(2020),
13,Shameless,(2011– ),8.6
14,New Girl,(2011–2018),7.7
15,Community,(2009–2015),8.5
16,Knives Out,(2019),7.9
17,The Big Bang Theory,(2007–2019),8.1
18,Freaky,(2020),
19,Modern Family,(2009–2020),8.4
20,Brooklyn Nine-Nine,(2013– ),8.4
21,"Love, Guaranteed",(2020),5.5
22,Parks and Recreation,(2009–2020),8.6
23,Suits,(2011–2019),8.5
24,Girlfriends,(2000–2008),7.0
25,Gilmore Girls,(2000–2007),8.1
26,Archer,(2009– ),8.6
27,Pets United,(2019),3.4
28,Kingsman: The Golden Circle,(2017),6.7
29,Parasite,(2019),8.6
30,Once Upon a Time... In Hollywood,(2019),7.6
31,How I Met Your Mother,(2005–2014),8.3
32,Woke,(2020– ),6.3
33,Doom Patrol,(2019– ),8.0
34,PEN15,(2019– ),7.9
35,Misfits,(2009–2013),8.2
36,"Sister, Sister",(1994–1999),6.2
37,Jojo Rabbit,(2019),7.9
38,Bones,(2005–2017),7.8
39,It's Always Sunny in Philadelphia,(2005– ),8.8
40,Unpregnant,(2020),6.1
41,The Legend of Korra,(2012–2014),8.4
42,The Gentlemen,(2019),7.9
43,Glee,(2009–2015),6.7
44,This Is Us,(2016– ),8.7
45,The Simpsons,(1989– ),8.7
46,Bill & Ted's Excellent Adventure,(1989),7.0
47,The Peanut Butter Falcon,(2019),7.6
48,Trolls World Tour,(2020),6.1
49,Seinfeld,(1989–1998),8.8
