,Title,Year,Rating
0,Friends,(1994–2004),8.9
1,The Big Bang Theory,(2007–2019),8.1
2,Modern Family,(2009–2020),8.4
3,"Love, Guaranteed",(2020),5.5
4,How I Met Your Mother,(2005–2014),8.3
5,Misfits,(2009–2013),8.2
6,Bones,(2005–2017),7.8
7,This Is Us,(2016– ),8.7
8,Bill & Ted's Excellent Adventure,(1989),7.0
9,The Broken Hearts Gallery,(2020),6.6
10,Two and a Half Men,(2003–2015),7.0
11,Hart of Dixie,(2011–2015),7.7
12,The Good Place,(2016–2020),8.2
13,Palm Springs,(2020),7.4
14,Scott Pilgrim vs. the World,(2010),7.5
15,Desperate Housewives,(2004–2012),7.5
16,Mom,(2013– ),7.2
17,Castle,(2009–2016),8.1
18,She's All That,(1999),5.9
19,Sex and the City,(1998–2004),7.1
20,Pitch Perfect,(2012),7.2
21,The O.C.,(2003–2007),7.5
22,The Avengers,(1961–1969),8.2
23,Peggy Sue Got Married,(1986),6.3
24,The Game,(2006–2015),6.7
25,Sex Drive,(2008),6.5
26,Emma.,(2020),6.7
27,Yesterday,(III) (2019),6.8
28,Clueless,(1995),6.8
29,Private Practice,(2007–2013),6.6
30,Modern Love,(2019– ),8.0
31,Mamma Mia: Here We Go Again!,(2018),6.6
32,Big Mouth,(2017– ),8.0
33,Coming to America,(1988),7.0
34,The Ballad of Buster Scruggs,(2018),7.3
35,My Best Friend's Wedding,(1997),6.3
36,La La Land,(2016),8.0
37,Weird Science,(1985),6.6
38,Younger,(2015– ),7.8
39,Doc Martin,(2004– ),8.3
40,10 Things I Hate About You,(1999),7.3
41,Marriage Story,(2019),8.0
42,Hercules,(1997),7.3
43,The Kissing Booth,(2018),6.0
44,Bridesmaids,(I) (2011),6.8
45,That '70s Show,(1998–2006),8.1
46,Crazy Rich Asians,(2018),6.9
47,The French Dispatch,,
48,Love Actually,(2003),7.6
49,Easy A,(2010),7.0
