,Title,Year,Rating
0,The Devil All the Time,(2020),7.2
1,Cobra Kai,(2018– ),8.7
2,Cuties,(2020),2.7
3,Dune,(I) (2020),
4,Raised by Wolves,(2020– ),8.5
5,Ratched,(2020– ),7.6
6,Mulan,(2020),5.4
7,Away,(2020– ),6.6
8,Lucifer,(2016– ),8.2
9,Des,(2020– ),8.0
10,The Social Dilemma,(2020),7.9
11,I'm Thinking of Ending Things,(2020),6.7
12,Lovecraft Country,(2020– ),7.3
13,The Karate Kid,(1984),7.2
14,The Third Day,(2020– ),6.9
15,Game of Thrones,(2011–2019),9.3
16,Criminal: UK,(2019– ),7.5
17,The 100,(2014– ),7.7
18,After We Collided,(2020),5.5
19,Antebellum,(2020),5.5
20,Supernatural,(2005–2020),8.4
21,The Walking Dead,(2010– ),8.2
22,Fast Times at Ridgemont High,(1982),7.2
23,Grey's Anatomy,(2005– ),7.6
24,Yellowstone,(2018– ),8.5
25,Breaking Bad,(2008–2013),9.5
26,The Duchess,(2020– ),6.8
27,#Alive,(2020),6.2
28,Vikings,(2013– ),8.5
29,Ted Lasso,(2020– ),8.7
30,The Trial of the Chicago 7,(2020),
31,Criminal Minds,(2005–2020),8.1
32,American Horror Story,(2011– ),8.0
33,Peaky Blinders,(2013– ),8.8
34,Fargo,(2014– ),8.9
35,Stranger Things,(2016– ),8.8
36,Dark,(2017–2020),8.8
37,The Fall,(I) (2013–2016),8.2
38,We Are Who We Are,(2020),6.7
39,Shameless,(2011– ),8.6
40,Young Wallander,(2020– ),6.7
41,Knives Out,(2019),7.9
42,365 Days,(2020),3.3
43,The Batman,(2021),
44,Ozark,(2017– ),8.4
45,Lost Girls and Love Hotels,(2020),4.5
46,Outlander,(2014– ),8.4
47,One Flew Over the Cuckoo's Nest,(1975),8.7
48,The Crown,(2016– ),8.7
49,Enola Holmes,(2020),
