,Title,Year,Rating
0,Raised by Wolves,(2020– ),8.5
1,Lucifer,(2016– ),8.2
2,Lovecraft Country,(2020– ),7.3
3,Game of Thrones,(2011–2019),9.3
4,Julie and the Phantoms,(2020– ),8.4
5,Supernatural,(2005–2020),8.4
6,Stranger Things,(2016– ),8.8
7,Outlander,(2014– ),8.4
8,The Vampire Diaries,(2009–2017),7.7
9,The Witcher,(2019– ),8.2
10,The Princess Bride,(1987),8.1
11,Buffy the Vampire Slayer,(1997–2003),8.2
12,Harry Potter and the Philosopher's Stone,(2001),7.6
13,Mulan,(1998),7.6
14,Lost,(2004–2010),8.3
15,Misfits,(2009–2013),8.2
16,The Suicide Squad,(2021),
17,The Gift,(2019– ),7.5
18,The Old Guard,(2020),6.7
19,The Legend of Korra,(2012–2014),8.4
20,Avatar: The Last Airbender,(2005–2008),9.2
21,Doctor Sleep,(2019),7.4
22,Wonder Woman 1984,(2020),
23,The Lighthouse,(I) (2019),7.5
24,Trolls World Tour,(2020),6.1
25,Once Upon a Time,(2011–2018),7.7
26,Close Enough,(2020– ),8.0
27,Twilight,(I) (2008),5.2
28,Dune,(2000– ),7.1
29,Cursed,(2020– ),5.8
30,Jumanji: The Next Level,(2019),6.7
31,Attack on Titan,(2013– ),8.8
32,Star Wars: The Rise of Skywalker,(2019),6.6
33,What We Do in the Shadows,(2019– ),8.5
34,Cinderella,(I) (2015),6.9
35,The Originals,(2013–2018),8.2
36,Teen Wolf,(2011–2017),7.6
37,True Blood,(2008–2014),7.8
38,The Good Place,(2016–2020),8.2
39,Palm Springs,(2020),7.4
40,The One and Only Ivan,(2020),6.7
41,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
42,Thor: Ragnarok,(2017),7.9
43,Hocus Pocus,(1993),6.9
44,Titans,(I) (2018– ),7.7
45,Scott Pilgrim vs. the World,(2010),7.5
46,The Stand,(2020– ),
47,Dragon's Dogma,(2020– ),6.6
48,Suicide Squad,(2016),6.0
49,His Dark Materials,(2019– ),7.9
