,Title,Year,Rating
0,The Babysitter: Killer Queen,(2020),5.9
1,Lovecraft Country,(2020– ),7.3
2,The Babysitter,(I) (2017),6.3
3,Antebellum,(2020),5.5
4,Supernatural,(2005–2020),8.4
5,The Walking Dead,(2010– ),8.2
6,#Alive,(2020),6.2
7,American Horror Story,(2011– ),8.0
8,Stranger Things,(2016– ),8.8
9,The New Mutants,(2020),5.5
10,Freaky,(2020),
11,The Vampire Diaries,(2009–2017),7.7
12,The Haunting of Hill House,(2018),8.7
13,Doctor Sleep,(2019),7.4
14,Follow Me,(2020),5.3
15,The Lighthouse,(I) (2019),7.5
16,Hannibal,(2013–2015),8.5
17,"Don't Worry, Darling",,
18,Peninsula,(2020),5.5
19,Midsommar,(2019),7.1
20,The Haunting of Bly Manor,(2020– ),
21,Ready or Not,(I) (2019),6.8
22,Attack on Titan,(2013– ),8.8
23,Fear the Walking Dead,(2015– ),6.9
24,What We Do in the Shadows,(2019– ),8.5
25,The Originals,(2013–2018),8.2
26,The Shining,(1980),8.4
27,I See You,(II) (2019),6.8
28,Nocturne,(II) (2020),
29,Cordelia,(2019),6.7
30,Hereditary,(2018),7.3
31,The Stand,(2020– ),
32,The Invisible Man,(I) (2020),7.1
33,The Owners,(2020),4.6
34,Night of the Lepus,(1972),4.2
35,Train to Busan,(2016),7.6
36,Fantasy Island,(2020),4.9
37,It,(I) (2017),7.3
38,The Hunt,(II) (2020),6.5
39,Cuties,(2020),1.5
40,Between Earth and Sky,(2018),6.2
41,Devil,(2010),6.2
42,It: Chapter Two,(2019),6.5
43,Get Out,(I) (2017),7.7
44,Alien,(1979),8.4
45,Psycho,(1960),8.5
46,The Platform,(2019),7.0
47,Chilling Adventures of Sabrina,(2018–2020),7.6
48,Legacies,(2018– ),7.5
49,Vivarium,(2019),5.8
