,Title,Year,Rating
0,Away,(2020– ),6.6
1,Game of Thrones,(2011–2019),9.3
2,After We Collided,(2020),5.5
3,Grey's Anatomy,(2005– ),7.6
4,Vikings,(2013– ),8.5
5,Friends,(1994–2004),8.9
6,365 Days,(2020),3.3
7,The Big Bang Theory,(2007–2019),8.1
8,Outlander,(2014– ),8.4
9,Modern Family,(2009–2020),8.4
10,The Vampire Diaries,(2009–2017),7.7
11,The Princess Bride,(1987),8.1
12,"Love, Guaranteed",(2020),5.5
13,Buffy the Vampire Slayer,(1997–2003),8.2
14,How I Met Your Mother,(2005–2014),8.3
15,Misfits,(2009–2013),8.2
16,After,(2019),5.3
17,Bones,(2005–2017),7.8
18,Pride & Prejudice,(2005),7.8
19,This Is Us,(2016– ),8.7
20,Bill & Ted's Excellent Adventure,(1989),7.0
21,The Broken Hearts Gallery,(2020),6.6
22,The Karate Kid Part II,(1986),6.0
23,Once Upon a Time,(2011–2018),7.7
24,Downton Abbey,(2010–2015),8.7
25,Two and a Half Men,(2003–2015),7.0
26,ER,(1994–2009),7.7
27,Little Women,(2019),7.8
28,Twilight,(I) (2008),5.2
29,Love,(II) (2015),6.1
30,Riverdale,(2017– ),7.0
31,Hart of Dixie,(2011–2015),7.7
32,Rebecca,(2020),
33,Grease,(1978),7.2
34,Gossip Girl,(2007–2012),7.4
35,Smallville,(2001–2011),7.5
36,You,(2018– ),7.8
37,Titanic,(1997),7.8
38,Cinderella,(I) (2015),6.9
39,Teen Wolf,(2011–2017),7.6
40,True Blood,(2008–2014),7.8
41,The King,(I) (2019),7.2
42,The Good Place,(2016–2020),8.2
43,Palm Springs,(2020),7.4
44,Call Me by Your Name,(2017),7.9
45,Spartacus,(2010–2013),8.5
46,Scott Pilgrim vs. the World,(2010),7.5
47,Ammonite,(2020),7.2
48,One Tree Hill,(2003–2012),7.7
49,A Star Is Born,(2018),7.7
