,Title,Year,Rating
0,The Boys,(2019– ),8.7
1,Tenet,(2020),7.8
2,Dune,(I) (2020),
3,Raised by Wolves,(2020– ),8.5
4,The Mandalorian,(2019– ),8.7
5,Away,(2020– ),6.6
6,Lovecraft Country,(2020– ),7.3
7,Dune,(1984),6.5
8,The 100,(2014– ),7.7
9,Bill & Ted Face the Music,(2020),6.3
10,Stranger Things,(2016– ),8.8
11,Dark,(2017–2020),8.8
12,The New Mutants,(2020),5.5
13,Black Mirror,(2011– ),8.8
14,Interstellar,(2014),8.6
15,Avengers: Endgame,(2019),8.4
16,Westworld,(2016– ),8.7
17,Doctor Who,(2005– ),8.6
18,The Handmaid's Tale,(2017– ),8.5
19,Black Panther,(2018),7.3
20,Inception,(2010),8.8
21,Doom Patrol,(2019– ),8.0
22,Lost,(2004–2010),8.3
23,Star Trek: The Next Generation,(1987–1994),8.6
24,Agents of S.H.I.E.L.D.,(2013–2020),7.5
25,Misfits,(2009–2013),8.2
26,The Suicide Squad,(2021),
27,Project Power,(2020),6.0
28,The Flash,(2014– ),7.7
29,Watchmen,(2019),8.1
30,The Legend of Korra,(2012–2014),8.4
31,Brave New World,(2020– ),7.0
32,Arrow,(2012–2020),7.5
33,Gotham,(2014–2019),7.8
34,Blade Runner 2049,(2017),8.0
35,Bill & Ted's Excellent Adventure,(1989),7.0
36,Black Widow,(2020),
37,The Expanse,(2015– ),8.5
38,The X Files,(1993–2018),8.6
39,Battlestar Galactica,(2004–2009),8.7
40,Star Trek: Discovery,(2017– ),7.3
41,Rick and Morty,(2013– ),9.2
42,Back to the Future,(1985),8.5
43,Deadpool 2,(2018),7.7
44,Close Enough,(2020– ),8.0
45,Avengers: Infinity War,(2018),8.4
46,Star Trek: Deep Space Nine,(1993–1999),7.9
47,Terminator: Dark Fate,(2019),6.2
48,Moonbase 8,(2020– ),
49,Dune,(2000– ),7.1
